session_id,target
1,0.00035454010990951885
2,1.3414610377866888e-05
3,9.314629632146178e-07
4,7.984802115701374e-07
5,8.029633952244814e-06
6,0.0015621419667584781
7,0.004105322813063851
8,3.748310702607001e-05
9,0.004916106191717183
10,0.08610157909314718
11,7.264986052355046e-06
12,0.00041708087778745493
13,0.0010494818414677773
14,0.2983071488791561
15,0.0002642145026213337
16,0.0002925170567513554
17,0.00042535122927339446
18,0.00040811905262061135
19,0.0014677885116224055
20,2.2737949397663533e-05
21,0.027063621476691804
22,1.7759606589314928e-07
23,9.532646663317909e-05
24,0.011361628402403161
25,0.03334451790256223
26,3.4167923849987206e-07
27,0.00011457075261710448
28,1.1925637038960213e-06
29,0.010728317966015075
30,0.0005390482461833516
31,0.021182944082563923
32,0.029040698139152242
33,0.0037029432419091813
34,6.677537854826899e-06
35,0.06422647325147982
36,0.00021881816855903963
37,2.06355786751234e-06
38,1.9986108972667517e-06
39,0.0005390482461833516
40,1.456690789575479e-05
41,6.532629463515578e-05
42,6.110925012320677e-05
43,0.00028041548734382003
44,3.4627978533015012e-06
45,0.11809268971057522
46,0.00012768658260721327
47,0.016767926480424997
48,4.261474692454453e-05
49,1.2576729344174058e-05
50,0.00012391516139708005
51,5.391889192946668e-06
52,0.0007469289950549528
53,0.0009244632754826138
54,0.0008587505383409061
55,0.0002618903485997511
56,0.002569848086178705
57,1.388269963203229e-05
58,0.0006575821393202294
59,0.00043935047860393423
60,2.060363798035254e-06
61,0.00022913179402795364
62,0.0004242737380527766
63,8.79803522807953e-06
64,5.8897945970482206e-05
65,0.0002094183887393048
66,6.236209750694513e-05
67,0.00019351003478772463
68,4.4932049696762184e-05
69,0.0023891964114514073
70,6.049515298536926e-05
71,3.10486914586479e-05
72,0.0009880287386343307
73,0.16988337251764576
74,1.3414610377866888e-05
75,0.0003169623898259651
76,0.002112394695734257
77,0.014077398695147311
78,9.527909601019103e-05
79,4.093859425493148e-06
80,0.00023134606608535917
81,1.488980201136458e-05
82,0.00014027886210815093
